month,orders,revenue,prev_month_revenue,mom_growth_pct
2016-09,2,279.69,,
2016-10,290,51354.52,279.69,18261.2
2016-12,1,19.62,51354.52,-100.0
2017-01,787,136943.46,19.62,697878.9
2017-02,1718,283561.69,136943.46,107.1
2017-03,2617,425617.96,283561.69,50.1
2017-04,2377,405848.61,425617.96,-4.6
2017-05,3640,582710.83,405848.61,43.6
2017-06,3205,499652.24,582710.83,-14.3
2017-07,3946,578753.73,499652.24,15.8
2017-08,4272,661903.52,578753.73,14.4
2017-09,4227,717102.72,661903.52,8.3
2017-10,4547,764756.03,717102.72,6.6
2017-11,7421,1172191.68,764756.03,53.3
2017-12,5618,861526.77,1172191.68,-26.5
2018-01,7187,1101920.01,861526.77,27.9
2018-02,6624,979486.16,1101920.01,-11.1
2018-03,7168,1152656.99,979486.16,17.7
2018-04,6919,1156248.89,1152656.99,0.3
2018-05,6833,1145686.46,1156248.89,-0.9
2018-06,6145,1020381.9,1145686.46,-10.9
2018-07,6233,1039783.58,1020381.9,1.9
2018-08,6421,996973.51,1039783.58,-4.1
2018-09,1,166.46,996973.51,-100.0
