revenue_rank,category,items_sold,orders,product_revenue,avg_item_price
1,health_beauty,9670,8836,1258681.34,130.16
2,watches_gifts,5991,5624,1205005.68,201.14
3,bed_bath_table,11115,9417,1036988.68,93.3
4,sports_leisure,8641,7720,988048.97,114.34
5,computers_accessories,7827,6689,911954.32,116.51
6,furniture_decor,8334,6449,729762.49,87.56
7,cool_stuff,3796,3632,635290.85,167.36
8,housewares,6964,5884,632248.66,90.79
9,auto,4235,3897,592720.11,139.96
10,garden_tools,4347,3518,485256.46,111.63
11,toys,4117,3886,483946.6,117.55
12,baby,3065,2885,411764.89,134.34
13,perfumery,3419,3162,399124.87,116.74
14,telephony,4545,4199,323667.53,71.21
15,office_furniture,1691,1273,273960.7,162.01
