seller_state,seller_id,orders,revenue,state_rank
SP,4869f7a5dfa277a7dca6462dcf3b52b2,1132,249640.7,1
BA,53243585a1d6dc2643021fd1853d8905,358,235856.68,1
RJ,46dc3b2cc0980fb8ec44634e21d2718e,521,139909.69,1
MG,a1043bafd471dff536d0c462352beb48,718,133745.25,1
PR,ccc4bbb5f32a6ab2b7066a4130f114e3,187,79261.6,1
PE,de722cd6dad950a92b7d4f82673f8833,339,65112.75,1
SC,04308b1ee57b6625f47df1d56f00eedf,94,63184.99,1
MA,06a2c3af7b3aee5d69171b0e14f0ee87,392,48550.24,1
RS,87142160b41353c4e5fca2360caf6f92,305,38314.31,1
ES,001cca7ae9ae17fb1caed9dfb1094831,200,33934.17,1
DF,44073f8b7e41514de3b7815dd0237f4f,144,21901.93,1
PB,a6bd7d1ccdac48c6b33b28596b7eb122,16,15046.63,1
GO,9d5a9018aee56acb367ba9c3f05d1d6a,67,11982.21,1
MT,2dee2ce60de9709b1a24083217181a1f,54,9844.56,1
CE,bbf9ad41dca6603e614efcdad7aab8c4,14,8622.26,1
RN,02d35243ea2e497335cd0f076b45675d,14,6399.95,1
MS,b1fecf4da1fa2689bccffa0121953643,19,4066.72,1
RO,3364a91ec4d56c98e44174de954b94f6,6,3853.85,1
PI,47efca563408aae19bb7206c2d969ea9,12,2965.32,1
PA,67225bff54a172ff67579aaf583efd78,8,1393.11,1
AM,327b89b872c14d1c0be7235ef4871685,3,1258.8,1
SE,4b39558c138930b9e5489c93b6df5fe3,4,1229.1,1
AC,4be2e7f96b4fd749d52dff41f80e39dd,1,299.84,1
