category,quarter,revenue,prev_quarter_revenue,qoq_growth_pct
bed_bath_table,2016-Q4,606.58,,
bed_bath_table,2017-Q1,54653.35,606.58,8910.1
bed_bath_table,2017-Q2,110354.01,54653.35,101.9
bed_bath_table,2017-Q3,202950.45,110354.01,83.9
bed_bath_table,2017-Q4,221740.58,202950.45,9.3
bed_bath_table,2018-Q1,246584.84,221740.58,11.2
bed_bath_table,2018-Q2,259812.48,246584.84,5.4
bed_bath_table,2018-Q3,143683.84,259812.48,-44.7
computers_accessories,2016-Q4,1740.09,,
computers_accessories,2017-Q1,49502.83,1740.09,2744.8
computers_accessories,2017-Q2,114662.01,49502.83,131.6
computers_accessories,2017-Q3,119404.08,114662.01,4.1
computers_accessories,2017-Q4,174307.28,119404.08,46.0
computers_accessories,2018-Q1,312582.05,174307.28,79.3
computers_accessories,2018-Q2,180424.59,312582.05,-42.3
computers_accessories,2018-Q3,98318.65,180424.59,-45.5
furniture_decor,2016-Q3,136.23,,
furniture_decor,2016-Q4,7052.28,136.23,5076.7
furniture_decor,2017-Q1,72096.4,7052.28,922.3
furniture_decor,2017-Q2,77858.53,72096.4,8.0
furniture_decor,2017-Q3,112868.07,77858.53,45.0
furniture_decor,2017-Q4,154866.55,112868.07,37.2
furniture_decor,2018-Q1,179147.15,154866.55,15.7
furniture_decor,2018-Q2,186365.57,179147.15,4.0
furniture_decor,2018-Q3,109235.26,186365.57,-41.4
health_beauty,2016-Q3,143.46,,
health_beauty,2016-Q4,5308.94,143.46,3600.6
health_beauty,2017-Q1,69940.14,5308.94,1217.4
health_beauty,2017-Q2,116240.34,69940.14,66.2
health_beauty,2017-Q3,155569.55,116240.34,33.8
health_beauty,2017-Q4,207840.8,155569.55,33.6
health_beauty,2018-Q1,283210.94,207840.8,36.3
health_beauty,2018-Q2,340172.2,283210.94,20.1
health_beauty,2018-Q3,259239.41,340172.2,-23.8
sports_leisure,2016-Q4,2490.76,,
sports_leisure,2017-Q1,61780.12,2490.76,2380.4
sports_leisure,2017-Q2,109181.71,61780.12,76.7
sports_leisure,2017-Q3,153080.8,109181.71,40.2
sports_leisure,2017-Q4,201513.49,153080.8,31.6
sports_leisure,2018-Q1,291595.27,201513.49,44.7
sports_leisure,2018-Q2,201900.61,291595.27,-30.8
sports_leisure,2018-Q3,125701.87,201900.61,-37.7
watches_gifts,2016-Q4,3468.04,,
watches_gifts,2017-Q1,46929.82,3468.04,1253.2
watches_gifts,2017-Q2,95670.71,46929.82,103.9
watches_gifts,2017-Q3,129225.54,95670.71,35.1
watches_gifts,2017-Q4,251661.33,129225.54,94.7
watches_gifts,2018-Q1,257090.01,251661.33,2.2
watches_gifts,2018-Q2,328790.44,257090.01,27.9
watches_gifts,2018-Q3,185456.58,328790.44,-43.6
